template_id,file_name,invoice_number,invoice_date,due_date,issuer_name,recipient_name,total_amount
7,Template7_Instance144.jpg,INVS5469840,1997-02-21,2009-05-23,White and Sons,Angela Alexander,1232.82
7,Template7_Instance145.jpg,INV/33-57/240,2019-05-04,1999-07-30,White and Sons,Kevin Ramirez,618.01
7,Template7_Instance146.jpg,4M8d-752,2007-08-09,2010-08-08,White and Sons,Thomas Neal,740.88
7,Template7_Instance147.jpg,INV18778077,1993-09-21,1995-04-15,White and Sons,Cynthia Morse,32.45
7,Template7_Instance148.jpg,5300-228,2021-09-09,1994-07-10,White and Sons,Mrs. Katherine Cunningham,453.54
7,Template7_Instance149.jpg,INV/75-75/130,2002-10-26,2022-05-14,White and Sons,Melanie Jackson,422.70
7,Template7_Instance15.jpg,INV02798453,2008-07-16,2016-10-26,White and Sons y g,Courtney Romero,156.49
7,Template7_Instance150.jpg,INV69775958,2016-01-14,2002-07-31,White and Sons,Megan Dickson,587.46
7,Template7_Instance151.jpg,6Y3M8d-530,1999-08-01,2003-08-07,White and Sons,Alisha Mcgee,677.96
7,Template7_Instance152.jpg,2Y8M1d-541,1994-08-30,2005-09-26,White and Sons,Martin Duran,1073.56
7,Template7_Instance153.jpg,INV75465103,1993-04-22,1997-01-24,White and Sons,Cindy Schmidt,73.44
7,Template7_Instance154.jpg,INV58998208,2000-09-25,2010-03-07,White and Sons y g,Courtney Boone,462.77
7,Template7_Instance155.jpg,INV12496609,2009-05-29,1995-01-12,White and Sons,Walter Leonard,437.79
7,Template7_Instance156.jpg,INV/53-01/827,1998-12-24,2014-08-21,White and Sons,Amy Bush,546.37
7,Template7_Instance157.jpg,2462-032,1995-08-29,2015-04-28,White and Sons,Alexander Brown,1178.36
7,Template7_Instance158.jpg,6020-421,2019-08-27,2018-08-21,White and Sons,Matthew Horn,960.76
7,Template7_Instance159.jpg,INV02343818,2001-03-31,2016-12-12,White and Sons,Robert Boyd,367.07
7,Template7_Instance16.jpg,INV/88-52/540,2013-02-01,1994-08-20,White and Sons,Scott Cruz,500.71
7,Template7_Instance160.jpg,INV54619006,1999-03-23,1998-06-26,White and Sons,Ms. April Salinas,809.72
7,Template7_Instance161.jpg,5471-17,2004-04-04,2020-01-01,White and Sons,Paul Haynes.,235.72
7,Template7_Instance162.jpg,6Y8M1d-073,2014-09-29,2018-06-22,White and Sons y g,Rebecca Wilson,684.06
7,Template7_Instance163.jpg,8Y6M8d-606,2018-06-24,2014-07-19,White and Sons,Vanessa Smith,1093.80
7,Template7_Instance164.jpg,1269-057,2010-02-22,2004-10-28,White and Sons,Daniel Santana,816.52
7,Template7_Instance165.jpg,INV/34-85/905,2021-09-27,1999-04-13,White and Sons,William Rogers,557.65
7,Template7_Instance166.jpg,INV/94-26/416,2016-03-21,2011-10-17,White and Sons,Mark Roberts,1007.95
7,Template7_Instance167.jpg,INV/08-997750,2006-02-04,2017-11-09,White and Sons,Hunter White,769.12
7,Template7_Instance168.jpg,INV/46-75/755,2022-01-25,1999-01-17,White and Sons,Michael Durham,763.16
7,Template7_Instance169.jpg,INVO9827040,2008-03-31,1995-08-12,White and Sons,Emily Velasquez,1213.12
7,Template7_Instance17.jpg,INV/83-85/935,2022-01-22,2012-01-18,White and Sons,Kendra Reyes,593.61
7,Template7_Instance170.jpg,2Y1Mgd-608,2006-12-12,2013-09-30,White and Sons,Judy Jackson,1310.69
7,Template7_Instance171.jpg,INV/39-82/945,1999-04-19,2018-05-10,White and Sons,Kyle Strickland,294.43
7,Template7_Instance172.jpg,INV91729514,2012-07-13,2011-06-18,White and Sons,Douglas Kane,542.07
7,Template7_Instance173.jpg,7Y4M9d-381,2014-08-21,2020-08-16,White and Sons,Michael Whitehead,752.67
7,Template7_Instance174.jpg,2Y8M6d-815,2008-05-29,2018-04-10,White and Sons,April Small,914.84
7,Template7_Instance175.jpg,6Y9M9d-265,2011-10-31,2005-10-14,White and Sons,Bobby Hickman,1171.68
7,Template7_Instance176.jpg,6Y3M5d-346,2014-03-13,1997-12-06,White and Sons y g,Ronald Johnson,229.75
7,Template7_Instance177.jpg,SY8M6d-186,2018-12-09,2019-05-14,White and Sons,Danielle Lewis,399.40
7,Template7_Instance178.jpg,INV/22-15/833,2009-10-02,2010-06-23,,Juan Cook,699.49
7,Template7_Instance179.jpg,INV/26-7/190,1997-01-18,2012-04-09,White and Sons,Christina Brown,46.21
7,Template7_Instance18.jpg,INV89964067,2008-03-08,2019-04-02,White and Sons,Brittany Davis,853.79
7,Template7_Instance180.jpg,INV84315346,1995-08-07,2020-06-26,White and Sons,Heather Lee,18.49
7,Template7_Instance181.jpg,INV80471052,2013-06-04,2001-06-23,White and Sons,Jason Gonzalez,531.36
7,Template7_Instance182.jpg,1Y1M9a-866,1998-05-23,1997-05-14,White and Sons,Jody Hernandez,347.46
7,Template7_Instance183.jpg,4720-889,2019-02-17,2021-10-11,White and Sons,Tara Wilcox,141.88
7,Template7_Instance184.jpg,INV/40-90/763,2007-09-06,2021-08-24,White and Sons,Kaitlyn Olson,36.64
7,Template7_Instance185.jpg,INV/02-49/462,2000-10-01,2018-08-28,White and Sons,Logan Berg,728.56
7,Template7_Instance186.jpg,4019-299,1998-04-18,1997-11-25,White and Sons,Erica Clark,420.97
7,Template7_Instance187.jpg,INV44330096,1993-04-11,2012-02-23,White and Sons,Amanda Mason,188.68
7,Template7_Instance188.jpg,INVIT2-73/134,2006-01-14,1998-11-18,White and Sons,Abigail Marsh,404.58
7,Template7_Instance189.jpg,0949-616,2008-07-23,2013-03-04,White and Sons,Ryan Davis,316.03
7,Template7_Instance19.jpg,6Y3M2d-130,2022-06-28,2007-11-10,White and Sons,Linda Park,1077.70
7,Template7_Instance190.jpg,2214-647,2011-03-31,2005-03-22,White and Sons,Sharon Dudley,336.19
7,Template7_Instance191.jpg,INV22623892,1999-08-05,1994-09-01,White and Sons,Robert Young,387.72
7,Template7_Instance192.jpg,INV15229430,2020-12-23,2010-01-04,White and Sons,Devin Jacobs,756.81
7,Template7_Instance193.jpg,8586-606,2005-09-21,2008-05-31,White and Sons,Joseph Baird,721.28
7,Template7_Instance194.jpg,INV/54-89/632,2010-09-13,2003-08-06,White and Sons,Stephanie Benton,273.40
7,Template7_Instance195.jpg,1Y2M6d-882,2002-10-12,1997-09-29,White and Sons,Charles Walsh,225.71
7,Template7_Instance196.jpg,8283-242,2006-11-19,1994-11-25,White and Sons,,770.05
7,Template7_Instance197.jpg,4Y5M5Sd-576,1996-04-06,1995-11-27,White and Sons,Stephanie Rogers,302.14
7,Template7_Instance198.jpg,8347-605,2012-08-05,2004-11-27,White and Sons,Gabrielle Callahan,11.87
7,Template7_Instance199.jpg,INV/29-40/510,2010-08-08,2019-10-21,White and Sons,Kimberly Ferguson,1205.75
7,Template7_Instance2.jpg,0830-321,2003-08-29,2011-09-09,White and Sons,Joseph Cohen,646.72
7,Template7_Instance20.jpg,INV13891195,2015-07-24,2019-10-15,White and Sons,Carolyn Moore,256.42
7,Template7_Instance21.jpg,8Y3M6d-792,2010-01-29,2003-04-25,White and Sons,Kelly Chambers,627.97
7,Template7_Instance22.jpg,INV/57-61/258,2014-09-02,2010-04-30,White and Sons,Robert Collier,379.24
7,Template7_Instance23.jpg,2548-730,1995-07-11,2017-09-20,White and Sons,William Lyons,1308.12
7,Template7_Instance24.jpg,INV59957686,2002-10-11,2014-12-10,White and Sons,Anthony Ramirez,746.99
7,Template7_Instance25.jpg,8618-713,2012-06-12,2024-04-06,White and Sons,Lauren Park,678.61
7,Template7_Instance26.jpg,INV/87-35/310,2022-04-13,2009-05-25,White and Sons,Thomas Kline,573.69
7,Template7_Instance27.jpg,3Y4M74-788,2005-09-01,1995-11-30,White and Sons,Sandra Salazar,636.13
7,Template7_Instance28.jpg,6999-865,2020-06-25,2014-08-15,White and Sons,Kevin Stone,532.57
7,Template7_Instance29.jpg,INV/21-37/527,2009-08-12,2006-07-16,White and Sons,Krystal Hernandez,1038.23
7,Template7_Instance3.jpg,INV24419966,2011-03-15,2016-01-16,White and Sons,Wendy Fields,775.48
7,Template7_Instance30.jpg,8990-930,2005-12-11,2012-05-25,White and Sons,Jill Kennedy,231.27
7,Template7_Instance31.jpg,7344-648,,2016-09-24,White and Sons,Steven Castillo,753.51
7,Template7_Instance32.jpg,8245-804,2000-02-08,2008-01-07,White and Sons,Brandon Soto,392.64
7,Template7_Instance33.jpg,0003-890,2004-07-19,2012-12-23,White and Sons,Aaron Thomas,352.95
7,Template7_Instance34.jpg,INV78611456,2022-12-31,1998-04-30,White and Sons,Amanda Ellis,1205.76
7,Template7_Instance35.jpg,INV/18-90/501,1996-10-31,2018-06-22,White and Sons,Mr. Bruce Mckee,483.36
7,Template7_Instance36.jpg,INVO3614827,2008-04-07,2017-03-30,White and Sons,Christine Johnson,457.51
7,Template7_Instance37.jpg,5Y5M9d-395,2009-03-26,2021-09-10,White and Sons,Suzanne Dominguez,878.86
7,Template7_Instance38.jpg,9202-549,2001-11-02,2014-05-14,White and Sons,Jessica Wright,494.29
7,Template7_Instance39.jpg,9Y4M74-262,2014-07-21,2011-12-13,White and Sons,Christopher Moreno,1155.60
7,Template7_Instance4.jpg,3667-187,2002-04-28,2004-09-12,White and Sons,Andrew Johnson,579.71
7,Template7_Instance40.jpg,INV46184304,2009-09-05,2014-03-03,White and Sons,James West,672.17
7,Template7_Instance41.jpg,INV/60-14/808,2005-05-12,1996-03-02,White and Sons,James Lozano,451.02
7,Template7_Instance42.jpg,INV29502128,2010-09-08,1998-04-13,[Trem group environmentaimaerat | 200 +t =i id,April Black,528.91
7,Template7_Instance43.jpg,INV/13-71/684,2014-08-26,1999-04-17,White and Sons,Thomas Estrada,693.90
7,Template7_Instance44.jpg,6Y2M3d-343,1997-08-25,2013-04-01,White and Sons y g,Nicholas Cole,19.09
7,Template7_Instance45.jpg,INV98483657,2002-02-14,2000-03-31,White and Sons,Kayla Hardin,132.61
7,Template7_Instance46.jpg,2506-460,2006-09-15,1996-06-09,White and Sons,Jason Fowler,367.36
7,Template7_Instance47.jpg,6597-183,1996-09-19,1995-02-06,White and Sons,Jennifer Singh,598.93
7,Template7_Instance48.jpg,INV06178133,2011-06-15,2001-06-26,White and Sons,Carlos Gardner,310.34
7,Template7_Instance49.jpg,9Y4M9d-373,2004-10-21,2011-02-22,White and Sons,Jennifer Moore,869.74
7,Template7_Instance5.jpg,INVO0611000,1999-09-11,2012-11-25,White and Sons,Carrie Mclean,672.30
7,Template7_Instance50.jpg,INV/34-59/448,2009-05-27,1996-08-31,White and Sons,Gregory Garcia,110.68
7,Template7_Instance51.jpg,2Y4M4d-745,2015-05-15,2021-10-06,White and Sons,Stephen Arnold,868.03
7,Template7_Instance52.jpg,5Y7M30-054,2007-02-22,2015-06-08,White and Sons,Martha Larsen,288.23
7,Template7_Instance53.jpg,INV/49-58/783,2006-11-07,2006-11-04,White and Sons,Victor Valenzuela,859.50
7,Template7_Instance54.jpg,3Y2M2d-019,2015-06-30,2003-01-06,White and Sons,James Montoya,594.25
7,Template7_Instance55.jpg,9Y6M50-743,2002-06-25,2020-02-21,White and Sons,Michael Brown,780.91
7,Template7_Instance56.jpg,8Y1M6d-281,2010-01-08,2014-02-09,White and Sons,Amy Li,1511.90
7,Template7_Instance57.jpg,5257-141,2009-10-21,2015-08-15,White and Sons,Ruth Ferguson,520.61
7,Template7_Instance58.jpg,6945-521,2005-08-10,2004-03-26,White and Sons,Nicholas Williams,1140.19
7,Template7_Instance59.jpg,9696-199,2023-01-10,2009-01-16,White and Sons,Oscar Roberts,677.84
7,Template7_Instance6.jpg,9Y9M1d-209,2002-12-27,2017-07-25,White and Sons,Sarah Snow,113.78
7,Template7_Instance60.jpg,INV/87-401070,2021-05-21,1997-06-17,White and Sons,Joseph Kaufman,886.97
7,Template7_Instance61.jpg,INV65101149,1998-02-02,2022-06-19,White and Sons,William Schmidt,304.36
7,Template7_Instance62.jpg,INV18139144,2001-06-10,2004-10-16,White and Sons y g,Ryan Hernandez,491.89
7,Template7_Instance63.jpg,0471-293,2018-02-06,1996-06-28,White and Sons,Kiara Decker,944.41
7,Template7_Instance64.jpg,0656-342,2008-01-04,1994-08-27,White and Sons,Madeline Hill,212.50
7,Template7_Instance65.jpg,3Y5M30-649,2015-12-29,2019-04-22,White and Sons,Michelle Brown,1150.00
7,Template7_Instance66.jpg,INV36630850,1996-06-12,2004-08-14,White and Sons,Richard Chavez,834.21
7,Template7_Instance67.jpg,INV39982306,1999-08-07,1994-01-04,White and Sons,Timothy Kemp,438.68
7,Template7_Instance68.jpg,7938-989,2014-04-26,1998-04-08,White and Sons,Virginia Mullen,577.73
7,Template7_Instance69.jpg,8074-546,2007-09-29,2011-07-02,White and Sons,David Pennington,716.16
7,Template7_Instance7.jpg,INV59315275,1997-05-13,2012-10-08,White and Sons,Ashley Fox,655.54
7,Template7_Instance70.jpg,8M1d-442,2008-10-12,2005-09-01,White and Sons,Jason Harper,340.11
7,Template7_Instance71.jpg,1924-611,2006-09-15,2009-11-22,White and Sons,Daniel Norman,273.69
7,Template7_Instance72.jpg,8Y2M9d-303,2006-06-30,2002-04-23,White and Sons,Luke Mullins,291.85
7,Template7_Instance73.jpg,INV47349559,1993-11-22,1999-03-17,White and Sons,Larry Benitez,646.77
7,Template7_Instance74.jpg,INV13929287,1999-06-03,2014-06-24,White and Sons,Dawn Palmer,778.09
7,Template7_Instance75.jpg,3Y2M1d-201,2008-08-15,1999-12-13,White and Sons,Brenda Miller,529.46
7,Template7_Instance76.jpg,4Y8M3d-804,2016-07-04,1999-06-13,White and Sons,Stephen Fritz,1126.72
7,Template7_Instance77.jpg,6Y6M4d-055,2011-12-26,2022-05-26,White and Sons,David Randall,327.00
7,Template7_Instance78.jpg,1Y7M5d-340,2001-05-23,1993-09-11,White and Sons,Daniel Moore,683.16
7,Template7_Instance79.jpg,INV98662050,2019-12-13,2004-04-19,White and Sons,James Jones,329.52
7,Template7_Instance8.jpg,2Y1M6d-500,2003-02-15,2002-02-20,White and Sons y g,Misty Pollard,526.40
7,Template7_Instance80.jpg,8666-251,2006-05-14,2016-03-12,White and Sons,Brett Miller,745.17
7,Template7_Instance81.jpg,3Y8M6q-512,2008-10-09,2003-07-26,White and Sons,David Christensen,591.71
7,Template7_Instance82.jpg,INV/41-73/157,2009-02-21,1997-06-25,White and Sons,Lisa Barr,685.24
7,Template7_Instance83.jpg,1303-878,2011-09-22,2020-09-22,White and Sons,Derek Walton,312.46
7,Template7_Instance84.jpg,3175-927,2014-03-25,2013-03-07,White and Sons,Mrs. Alexis Dixon,826.66
7,Template7_Instance85.jpg,4Y4M5d-247,2010-07-10,1995-05-04,White and Sons,Kevin Hayes,791.35
7,Template7_Instance86.jpg,4533-869,2012-03-10,2006-07-07,White and Sons,Jordan Mcmillan,441.39
7,Template7_Instance87.jpg,2M7d-078,2019-10-18,2005-04-21,White and Sons,Diane Parker,451.45
7,Template7_Instance88.jpg,1697-064,1996-08-12,2015-10-09,White and Sons,Crystal Harris,439.25
7,Template7_Instance89.jpg,INVI17-56/780,1999-01-16,2003-12-19,White and Sons,Amanda Shelton,1516.90
7,Template7_Instance9.jpg,6775-333,2016-01-11,1999-05-05,White and Sons,Mr. Timothy Kelly,342.00
7,Template7_Instance90.jpg,INV/83-85/487,2023-01-13,2007-11-19,White and Sons,Mary Patel,579.44
7,Template7_Instance91.jpg,INVO1168955,2012-12-11,2013-04-14,White and Sons,Shannon Cole,1116.41
7,Template7_Instance92.jpg,7690-224,2002-04-21,2011-12-13,White and Sons,Lisa Nelson,369.26
7,Template7_Instance93.jpg,8Y6Mod-053,2015-02-26,2016-05-27,White and Sons,Erin Warren,1024.26
7,Template7_Instance94.jpg,INV95171796,2020-02-25,2005-02-19,White and Sons,Tamara King,899.32
7,Template7_Instance95.jpg,2Y3M5d-117,2022-04-27,2022-12-08,White and Sons,Eric Lopez,1168.28
7,Template7_Instance96.jpg,5Y1M3d-494,1999-06-22,2008-12-17,White and Sons,Robert Soto,815.89
7,Template7_Instance97.jpg,INVI61-95/347,1994-09-13,2018-09-02,White and Sons,Heather Thomas,835.85
7,Template7_Instance98.jpg,5YSM9d-135,2005-02-24,1995-05-06,White and Sons,Anne Young,346.08
7,Template7_Instance99.jpg,INV05353816,1995-06-23,2020-02-28,White and Sons,Ryan Patterson,364.79
